r	z	sc	eng	energy_estimate
4.500000	0.020000	0.000000	5000.000000	0.925936
6.750000	0.020000	0.000000	5000.000000	0.974878
10.130000	0.020000	0.000000	5000.000000	0.973760
2.000000	0.040000	0.000000	5000.000000	0.966914
3.000000	0.040000	0.000000	5000.000000	0.955572
4.500000	0.040000	0.000000	5000.000000	0.924161
6.750000	0.040000	0.000000	5000.000000	0.975084
10.130000	0.040000	0.000000	5000.000000	0.973812
2.000000	0.080000	0.000000	5000.000000	0.960254
3.000000	0.080000	0.000000	5000.000000	0.946493
4.500000	0.080000	0.000000	5000.000000	0.921019
6.750000	0.080000	0.000000	5000.000000	0.974331
10.130000	0.080000	0.000000	5000.000000	0.946149
2.000000	0.160000	0.000000	5000.000000	0.951192
3.000000	0.160000	0.000000	5000.000000	0.933805
4.500000	0.160000	0.000000	5000.000000	0.917597
6.750000	0.160000	0.000000	5000.000000	0.979116
10.130000	0.160000	0.000000	5000.000000	0.961668
2.000000	0.320000	0.000000	5000.000000	0.949482
3.000000	0.320000	0.000000	5000.000000	0.930403
4.500000	0.320000	0.000000	5000.000000	0.916261
6.750000	0.320000	0.000000	5000.000000	0.980940
10.130000	0.320000	0.000000	5000.000000	0.974478
2.000000	0.640000	0.000000	5000.000000	0.949810
3.000000	0.640000	0.000000	5000.000000	0.931541
4.500000	0.640000	0.000000	5000.000000	0.925350
6.750000	0.640000	0.000000	5000.000000	0.981826
10.130000	0.640000	0.000000	5000.000000	0.982192
2.000000	1.280000	0.000000	5000.000000	0.953664
3.000000	1.280000	0.000000	5000.000000	0.942829
4.500000	1.280000	0.000000	5000.000000	0.946448
6.750000	1.280000	0.000000	5000.000000	0.982386
10.130000	1.280000	0.000000	5000.000000	0.988735
15.190000	1.280000	0.000000	5000.000000	0.992808
2.000000	2.560000	0.000000	5000.000000	0.966808
3.000000	2.560000	0.000000	5000.000000	0.964820
4.500000	2.560000	0.000000	5000.000000	0.969530
6.750000	2.560000	0.000000	5000.000000	0.984850
10.130000	2.560000	0.000000	5000.000000	0.992026
15.190000	2.560000	0.000000	5000.000000	0.991808
4.500000	0.020000	0.000000	4700.000000	0.925987
6.750000	0.020000	0.000000	4700.000000	0.974453
10.130000	0.020000	0.000000	4700.000000	0.972879
2.000000	0.040000	0.000000	4700.000000	0.966909
3.000000	0.040000	0.000000	4700.000000	0.955567
4.500000	0.040000	0.000000	4700.000000	0.924179
6.750000	0.040000	0.000000	4700.000000	0.974576
10.130000	0.040000	0.000000	4700.000000	0.972325
2.000000	0.080000	0.000000	4700.000000	0.960247
3.000000	0.080000	0.000000	4700.000000	0.946486
4.500000	0.080000	0.000000	4700.000000	0.921007
6.750000	0.080000	0.000000	4700.000000	0.974328
10.130000	0.080000	0.000000	4700.000000	0.945632
2.000000	0.160000	0.000000	4700.000000	0.951181
3.000000	0.160000	0.000000	4700.000000	0.933797
4.500000	0.160000	0.000000	4700.000000	0.917589
6.750000	0.160000	0.000000	4700.000000	0.979089
10.130000	0.160000	0.000000	4700.000000	0.961828
2.000000	0.320000	0.000000	4700.000000	0.949468
3.000000	0.320000	0.000000	4700.000000	0.930392
4.500000	0.320000	0.000000	4700.000000	0.916253
6.750000	0.320000	0.000000	4700.000000	0.980910
10.130000	0.320000	0.000000	4700.000000	0.974133
2.000000	0.640000	0.000000	4700.000000	0.949797
3.000000	0.640000	0.000000	4700.000000	0.931532
4.500000	0.640000	0.000000	4700.000000	0.925344
6.750000	0.640000	0.000000	4700.000000	0.981805
10.130000	0.640000	0.000000	4700.000000	0.981674
2.000000	1.280000	0.000000	4700.000000	0.953650
