r	z	sc	eng	energy_estimate
6.0	0.0	-0.5	2200.0	0.5471424529721484
8.0	0.0	-0.5	2200.0	0.43241003066943035
10.0	0.0	-0.5	2200.0	0.4049109702600323
12.0	0.0	-0.5	2200.0	0.3903473317551408
14.0	0.0	-0.5	2200.0	0.3813027190193838
16.0	0.0	-0.5	2200.0	0.37542477526208395
18.0	0.0	-0.5	2200.0	0.3702170238147892
20.0	0.0	-0.5	2200.0	0.3647796788109554
22.0	0.0	-0.5	2200.0	0.36114243517349603
24.0	0.0	-0.5	2200.0	0.35823375217712783
6.0	0.2	-0.5	2200.0	0.8881541949311952
8.0	0.2	-0.5	2200.0	0.4539120951041647
10.0	0.2	-0.5	2200.0	0.3856486805353368
12.0	0.2	-0.5	2200.0	0.3710090997999712
14.0	0.2	-0.5	2200.0	0.36387290605321787
16.0	0.2	-0.5	2200.0	0.360846943114866
18.0	0.2	-0.5	2200.0	0.3592121392897665
20.0	0.2	-0.5	2200.0	0.359204389747017
22.0	0.2	-0.5	2200.0	0.35694426573490445
24.0	0.2	-0.5	2200.0	0.3546597380408193
6.0	0.4	-0.5	2200.0	0.9765597329332459
8.0	0.4	-0.5	2200.0	0.6173609682044554
10.0	0.4	-0.5	2200.0	0.42472010411963695
12.0	0.4	-0.5	2200.0	0.3826169814501594
14.0	0.4	-0.5	2200.0	0.3687120900426025
16.0	0.4	-0.5	2200.0	0.36290401735474714
18.0	0.4	-0.5	2200.0	0.36141898579915066
20.0	0.4	-0.5	2200.0	0.3585157060358269
22.0	0.4	-0.5	2200.0	0.36058302106319845
24.0	0.4	-0.5	2200.0	0.3678517201318019
6.0	0.6	-0.5	2200.0	0.9860235408514831
8.0	0.6	-0.5	2200.0	0.8025245149638183
10.0	0.6	-0.5	2200.0	0.4682123007391763
12.0	0.6	-0.5	2200.0	0.4005587748630715
14.0	0.6	-0.5	2200.0	0.37412931109441333
16.0	0.6	-0.5	2200.0	0.36589563863140445
18.0	0.6	-0.5	2200.0	0.36034946016926966
20.0	0.6	-0.5	2200.0	0.35981803369348664
22.0	0.6	-0.5	2200.0	0.36506440071672736
24.0	0.6	-0.5	2200.0	0.414883656047517
6.0	0.8	-0.5	2200.0	0.9876492596668688
8.0	0.8	-0.5	2200.0	0.9221588670274471
10.0	0.8	-0.5	2200.0	0.5930347225260688
12.0	0.8	-0.5	2200.0	0.4221494951811206
14.0	0.8	-0.5	2200.0	0.40432928076377767
16.0	0.8	-0.5	2200.0	0.3695589651603142
18.0	0.8	-0.5	2200.0	0.37368534906701556
20.0	0.8	-0.5	2200.0	0.37539463420897884
22.0	0.8	-0.5	2200.0	0.40337658242800584
24.0	0.8	-0.5	2200.0	0.44266814699142687
6.0	1.0	-0.5	2200.0	0.9879456154210807
8.0	1.0	-0.5	2200.0	0.9726482903539005
10.0	1.0	-0.5	2200.0	0.7215206009262675
12.0	1.0	-0.5	2200.0	0.4770973438039484
14.0	1.0	-0.5	2200.0	0.4212328298347825
16.0	1.0	-0.5	2200.0	0.3828110378106577
18.0	1.0	-0.5	2200.0	0.3900101498889861
20.0	1.0	-0.5	2200.0	0.4017508407583232
22.0	1.0	-0.5	2200.0	0.4160000327371169
24.0	1.0	-0.5	2200.0	0.505795576508636
6.0	1.2	-0.5	2200.0	0.9880362210826725
8.0	1.2	-0.5	2200.0	0.9871227208646388
10.0	1.2	-0.5	2200.0	0.8339894562627073
12.0	1.2	-0.5	2200.0	0.5725792907730178
14.0	1.2	-0.5	2200.0	0.46119866802447795
16.0	1.2	-0.5	2200.0	0.41662713403808715
18.0	1.2	-0.5	2200.0	0.4052329900268258
20.0	1.2	-0.5	2200.0	0.4303715186497116
22.0	1.2	-0.5	2200.0	0.46544321719994824
24.0	1.2	-0.5	2200.0	0.5505995384701469
6.0	1.4	-0.5	2200.0	0.9881272553724159
8.0	1.4	-0.5	2200.0	0.9914019374433268
10.0	1.4	-0.5	2200.0	0.91538978834905
12.0	1.4	-0.5	2200.0	0.6779593379319955
14.0	1.4	-0.5	2200.0	0.5139901712006222
16.0	1.4	-0.5	2200.0	0.4459936499792092
18.0	1.4	-0.5	2200.0	0.43660534063416
20.0	1.4	-0.5	2200.0	0.46295671363303237
