# iter time(ns) max_DgradR max_DgradZ max_vRrho max_vZrho
2 0.000 9.3070523662e+00 1.1616046074e+01 9.1375487788e+02 8.6912366511e+02
3 0.077 6.1221385700e+00 7.6354769358e+00 6.0077851755e+02 5.7137613820e+02
4 0.155 3.6624517705e+00 4.5701853182e+00 3.6073537918e+02 3.4271396801e+02
5 0.232 3.0570462010e+00 3.8192839432e+00 3.0165694656e+02 2.8658694184e+02
6 0.309 2.4102859900e+00 2.7689175669e+00 2.3712091405e+02 2.2525342832e+02
7 0.387 1.9424927236e+00 1.8687262360e+00 1.9233935721e+02 1.8251846803e+02
8 0.464 1.4337543540e+00 1.8307958617e+00 1.7527994052e+02 1.6633010885e+02
9 0.541 1.2093371532e+00 1.5800401684e+00 1.4813200925e+02 1.4055577616e+02
10 0.619 1.1222533089e+00 1.2626249632e+00 1.3115173388e+02 1.2431190168e+02
11 0.696 9.4880106459e-01 1.0818603480e+00 1.2342378292e+02 1.1698697922e+02
12 0.773 7.5105392340e-01 9.9018582569e-01 1.0786806790e+02 1.0223398586e+02
13 0.851 7.2520363348e-01 8.7927031380e-01 9.9496362425e+01 9.4199877829e+01
14 0.928 6.6333811615e-01 8.0282183640e-01 9.5225633495e+01 9.0156492386e+01
15 1.005 5.6687364086e-01 6.8775370298e-01 8.5744486052e+01 8.1180054363e+01
16 1.083 5.0698455728e-01 6.3660816989e-01 8.0143295220e+01 7.5791279695e+01
17 1.160 4.8792629150e-01 6.0840703465e-01 7.7509708239e+01 7.3300704196e+01
18 1.237 4.3997513120e-01 5.4772701893e-01 7.1247556015e+01 6.7378605168e+01
19 1.315 3.9762698226e-01 4.7785336248e-01 6.7086331595e+01 6.3372302185e+01
20 1.392 3.7377538591e-01 4.7229889274e-01 6.5348888565e+01 6.1731047370e+01
21 1.469 3.5023306542e-01 4.4144158300e-01 6.0944451211e+01 5.7570448209e+01
22 1.547 3.2456667769e-01 4.0124369491e-01 5.7681744520e+01 5.4427909435e+01
23 1.624 2.9566437385e-01 3.7470960856e-01 5.6484651643e+01 5.3298344730e+01
24 1.701 2.8511473859e-01 3.6074256453e-01 5.3245836975e+01 5.0242232040e+01
25 1.779 2.6930747599e-01 3.3860163171e-01 5.0584398172e+01 4.7678442393e+01
26 1.856 2.4999281900e-01 3.1677742724e-01 4.9735566049e+01 4.6878373697e+01
27 1.933 2.3659763961e-01 2.9872748957e-01 4.7275006518e+01 4.4559167577e+01
28 2.011 2.2683018559e-01 2.8778582115e-01 4.5037069651e+01 4.2403535548e+01
29 2.088 2.1494906147e-01 2.7482741328e-01 4.4424883900e+01 4.1827147243e+01
30 2.166 1.9956993651e-01 2.5326588747e-01 4.2508165481e+01 4.0022508570e+01
31 2.243 1.9360938687e-01 2.4645624844e-01 4.0581202692e+01 3.8166960832e+01
32 2.320 1.8657683550e-01 2.3950179779e-01 4.0136282549e+01 3.7748509713e+01
33 2.398 1.7377699386e-01 2.2490304713e-01 3.8614206185e+01 3.6316984152e+01
34 2.475 1.6719607374e-01 2.1261157129e-01 3.6922854854e+01 3.4689089496e+01
35 2.552 1.6338425196e-01 2.0975667559e-01 3.6600094378e+01 3.4385855440e+01
36 2.630 1.5453177296e-01 2.0019164120e-01 3.5372827434e+01 3.3232835907e+01
37 2.707 1.4612700721e-01 1.8966349008e-01 3.4024650684e+01 3.1933331859e+01
38 2.784 1.4423441079e-01 1.8462660003e-01 3.3633522946e+01 3.1565243656e+01
39 2.862 1.3820998948e-01 1.7873086233e-01 3.2632302712e+01 3.0625593037e+01
40 2.939 1.2927524373e-01 1.7190221393e-01 3.1568740885e+01 2.9597089128e+01
41 3.016 1.2826311806e-01 1.6328165308e-01 3.1108949331e+01 2.9165241719e+01
42 3.094 1.2428899862e-01 1.6007781746e-01 3.0284266846e+01 2.8392085938e+01
43 3.171 1.1723838712e-01 1.5602280270e-01 2.9441880168e+01 2.7574189736e+01
44 3.248 1.1481881265e-01 1.4983144444e-01 2.8933700770e+01 2.7097667735e+01
45 3.326 1.1234794986e-01 1.4383246856e-01 2.8249814157e+01 2.6457178211e+01
46 3.403 1.0710798194e-01 1.4185608368e-01 2.7581673145e+01 2.5805221051e+01
47 3.480 1.0339970867e-01 1.3764268993e-01 2.7039869976e+01 2.5297900377e+01
48 3.558 1.0203985788e-01 1.3047137950e-01 2.6469445790e+01 2.4764224208e+01
49 3.635 9.8197290690e-02 1.2921924703e-01 2.5940751798e+01 2.4245075677e+01
50 3.712 9.3623213183e-02 1.2656056413e-01 2.5375535496e+01 2.3716537054e+01
51 3.790 9.3089697070e-02 1.2116200003e-01 2.4898208891e+01 2.3270417045e+01
52 3.867 9.0331422579e-02 1.1791622165e-01 2.4482099128e+01 2.2858502127e+01
53 3.944 8.6151748049e-02 1.1647911883e-01 2.3901081115e+01 2.2315875069e+01
54 4.022 8.5273587381e-02 1.1252749924e-01 2.3500846571e+01 2.1942185526e+01
55 4.099 8.3363256237e-02 1.0895401690e-01 2.3176606993e+01 2.1617785680e+01
56 4.176 7.9810391147e-02 1.0730928396e-01 2.2653936029e+01 2.1130268725e+01
57 4.254 7.8408869268e-02 1.0455033709e-01 2.2249768431e+01 2.0753258311e+01
58 4.331 7.7165308460e-02 1.0211333349e-01 2.2000963901e+01 2.0500732502e+01
59 4.408 7.4374864686e-02 9.8980278653e-02 2.1550428043e+01 2.0080918391e+01
60 4.486 7.2349417555e-02 9.7201396688e-02 2.1122647617e+01 1.9682379165e+01
61 4.563 7.1632331634e-02 9.5696505037e-02 2.0935784206e+01 1.9488895033e+01
62 4.640 6.9498265947e-02 9.2607312143e-02 2.0546355915e+01 1.9126380450e+01
63 4.718 6.7123868854e-02 9.0431258402e-02 2.0101364697e+01 1.8712301800e+01
64 4.795 6.6673284248e-02 8.9693042544e-02 1.9964821025e+01 1.8566831221e+01
65 4.872 6.5075713129e-02 8.7399190823e-02 1.9626895475e+01 1.8252568116e+01
66 4.950 6.2991598872e-02 8.4206319816e-02 1.9170672143e+01 1.7828526842e+01
67 5.027 6.2210900823e-02 8.4086008186e-02 1.9074288792e+01 1.7721446488e+01
68 5.104 6.1051942318e-02 8.2468881539e-02 1.8781771709e+01 1.7449676154e+01
69 5.182 5.9215659099e-02 7.9739870455e-02 1.8317036849e+01 1.7018205367e+01
