Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),GridXYZ,BlockXYZ,Name
22.8,34341037092,18594,1846888.1,1835433.0,1749039,2735561,52804.6,5211    1    1,1024    1    1,"gpu_self_repulsion(double *, double *, char *, double *, double *, double *, double *, double *, double *, double *, double *, int *, int *, double *, double *, double *, double *)"
16.1,24220569521,18594,1302601.4,1229624.0,1194951,2256488,110185.9,5211    1    1,1024    1    1,"diff_update(double *, char *, double *, double *, double *, double *, double *)"
15.6,23512003680,18594,1264494.1,1237513.0,1218474,2378505,53607.9,5211    1    1,1024    1    1,"gpu_sr_update(double *, double *, double *, int *, int *, double *)"
11.4,17148963486,18594,922284.8,940359.0,482884,1795081,246818.4,5211    1    1,1024    1    1,"gpu_diffusion(double *, double *, char *, double *, double *, double *, double *, double *, double *, double *, double *)"
9.5,14273537269,51138,279118.0,282338.0,264353,512577,16545.7,5211    1    1,1024    1    1,"relax_step(int, int, int, int, float, double, double *, char *, double *, double *, double *, double *, double *, double *, double *, double *, int, int, int, float)"
5.0,7485611884,18594,402582.1,421859.0,327427,765091,42450.6,5211    1    1,1024    1    1,"reset_rho(double *, double *, int)"
3.0,4558563525,9297,490326.3,513924.0,411748,904616,43785.5,5211    1    1,1024    1    1,"set_rho_zero(double *, double *, double *, double *)"
3.0,4455301561,9297,479219.3,370402.0,276034,979912,222818.6,5211    1    1,1024    1    1,"update_impurities(double *, double *, double *, double *, double *, double)"
2.0,2996352557,10898,274945.2,241121.0,225985,843943,114255.9,5211    1    1,1024    1    1,"cal_esum1(int, int, double *, double *, double *, double *, int)"
1.7,2610854165,18594,140413.8,76513.0,69441,948068,160242.7,5211    1    1,1024    1    1,"surface_drift(double *, double *, double *, int *, int *, double *)"
1.7,2579773466,10898,236719.9,239842.0,223074,409347,7779.0,5211    1    1,1024    1    1,"cal_hsum1(int, int, double *, double *, double *, double *, int)"
1.4,2143933270,18594,115302.4,81632.0,65152,810214,104829.8,5211    1    1,1024    1    1,"hvc_modicication(double *, double *, char *)"
1.3,1982242036,10898,181890.4,181825.0,177793,304354,2624.3,5211    1    1,1024    1    1,"cal_hsum2(int, int, double *, double *, double *, int)"
1.3,1965082087,10898,180315.8,180289.0,175394,290145,1609.0,5211    1    1,1024    1    1,"cal_esum2(int, int, double *, double *, double *, int)"
